"slr","name","category","summary","url","project_id_candidate","review_scope"
"SLR43","High quality TTS data for Nepali.","Speech","Multi-speaker TTS data for Nepali (ne-NP)","https://www.openslr.org/43/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR44","High quality TTS data for Sundanese.","Speech","Multi-speaker TTS data for Sundanese (su-ID)","https://www.openslr.org/44/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR45","Free ST American English Corpus","Speech","A free American English corpus by Surfingtech (www.surfing.ai), containing utterances from 10 speakers, Each speaker has about 350 utterances;","https://www.openslr.org/45/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR46","Tunisian_MSA","Speech","Tunisian Modern Standard Arabic","https://www.openslr.org/46/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR47","Primewords Chinese Corpus Set 1","Speech","Chinese Mandarin corpus released by Shanghai Primewords Co. Ltd. (www.primewords.cn), containing 100 hours of speech data.","https://www.openslr.org/47/","primewords","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR48","MADCAT Arabic data splits","Other","Unofficial data splits (dev/train/test) for the MADCAT Arabic LDC corpus","https://www.openslr.org/48/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR49","VoxCeleb Data","Misc","Various files for the VoxCeleb datasets","https://www.openslr.org/49/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR50","MADCAT Chinese data splits","Other","Unofficial data splits (dev/train/test) for the MADCAT Chinese LDC corpus","https://www.openslr.org/50/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR52","Large Sinhala ASR training data set","Speech","Sinhala ASR training data set containing ~185K utterances.","https://www.openslr.org/52/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR53","Large Bengali ASR training data set","Speech","Bengali ASR training data set containing ~196K utterances.","https://www.openslr.org/53/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR54","Large Nepali ASR training data set","Speech","Nepali ASR training data set containing ~157K utterances.","https://www.openslr.org/54/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR55","CLMAD","Text","A Chinese Language Model Adaptation Dataset (CLMAD).","https://www.openslr.org/55/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR56","IAM Aachen splits","Other","Aachen data splits (train/test/val) for the IAM dataset.","https://www.openslr.org/56/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR57","African Accented French","Speech","Recordings of African Accented French speech.","https://www.openslr.org/57/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR58","Pansori-TEDxKR","Speech","Korean speech corpus generated from Korean language TEDx talks","https://www.openslr.org/58/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR59","ParlamentParla","Speech","Catalan speech corpus generated from Catalan Parliamentary sessions","https://www.openslr.org/59/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR60","LibriTTS corpus","Speech","Large-scale corpus of English speech derived from the original materials of the LibriSpeech corpus","https://www.openslr.org/60/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR61","Crowdsourced high-quality Argentinian Spanish speech data set.","Speech","Data set which contains 5739 recordings of native speakers of Spanish","https://www.openslr.org/61/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR63","Crowdsourced high-quality Malayalam multi-speaker speech data set.","Speech","Data set which contains recordings of native speakers of Malayalam.","https://www.openslr.org/63/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR64","Crowdsourced high-quality Marathi multi-speaker speech data set.","Speech","Data set which contains recordings of native speakers of Marathi","https://www.openslr.org/64/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR65","Crowdsourced high-quality Tamil multi-speaker speech data set.","Speech","Data set which contains recordings of native speakers of Tamil.","https://www.openslr.org/65/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR66","Crowdsourced high-quality Telugu multi-speaker speech data set.","Speech","Data set which contains recordings of native speakers of Telugu.","https://www.openslr.org/66/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR67","TEDx Spanish Corpus","Speech","Spanish data taken from the TEDx Talks","https://www.openslr.org/67/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR68","MAGICDATA Mandarin Chinese Read Speech Corpus","Speech","The corpus by Magic Data Technology Co., Ltd. , containing 755 hours of scripted read speech data from 1080 native speakers of the Mandarin Chinese spoken in mainland China. The sentence transcription accuracy is higher than 98%.","https://www.openslr.org/68/","magicdata","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR69","Crowdsourced high-quality Catalan speech data set.","Speech","Data set which contains recordings of Catalan.","https://www.openslr.org/69/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR70","Crowdsourced high-quality Nigerian English speech data set.","Speech","Data set which contains recordings of Nigerian English.","https://www.openslr.org/70/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR71","Crowdsourced high-quality Chilean Spanish speech data set.","Speech","Data set which contains recordings of Chilean Spanish.","https://www.openslr.org/71/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR72","Crowdsourced high-quality Colombian Spanish speech data set.","Speech","Data set which contains recordings of Colombian Spanish.","https://www.openslr.org/72/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR73","Crowdsourced high-quality Peruvian Spanish speech data set.","Speech","Data set which contains recordings of Peruvian Spanish.","https://www.openslr.org/73/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR74","Crowdsourced high-quality Puerto Rico Spanish speech data set.","Speech","Data set which contains recordings of Puerto Rico Spanish.","https://www.openslr.org/74/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR75","Crowdsourced high-quality Venezuelan Spanish speech data set.","Speech","Data set which contains recordings of Venezuelan Spanish.","https://www.openslr.org/75/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR76","Crowdsourced high-quality Basque speech data set.","Speech","Data set which contains recordings of Basque.","https://www.openslr.org/76/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR77","Crowdsourced high-quality Galician speech data set.","Speech","Data set which contains recordings of Galician.","https://www.openslr.org/77/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR78","Crowdsourced high-quality Gujarati multi-speaker speech data set.","Speech","Data set which contains recordings of native speakers of Gujarati.","https://www.openslr.org/78/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR79","Crowdsourced high-quality Kannada multi-speaker speech data set.","Speech","Data set which contains recordings of native speakers of Kannada.","https://www.openslr.org/79/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR80","Crowdsourced high-quality Burmese speech data set.","Speech","Data set which contains recordings of Burmese.","https://www.openslr.org/80/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR81","Small Audio Clips","Speech","Contains 20 one-second audio clips from various sources, for testing compression algorithms","https://www.openslr.org/81/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR82","CN-Celeb","Speech","A Free Chinese Speaker Recognition Corpus Released by CSLT@Tsinghua University","https://www.openslr.org/82/","cnceleb1; cnceleb2","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR83","Crowdsourced high-quality UK and Ireland English Dialect speech data set.","Speech","Data set which contains male and female recordings of English from various dialects of the UK and Ireland.","https://www.openslr.org/83/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR84","ScribbleLens","Handwriting","Dutch cursive, 16-18th century handwritings, pages and lines, for (un)supervised AI and other research.","https://www.openslr.org/84/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR85","HI-MIA","Speech","A far-field text-dependent speaker verification database for AISHELL Speaker Verification Challenge 2019","https://www.openslr.org/85/","hi_mia","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR86","Crowdsourced high-quality Yoruba speech data set.","Speech","Data set which contains recordings of Yoruba.","https://www.openslr.org/86/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR87","MobvoiHotwords","Speech","Chinese hotwords detection dataset, provided by Mobvoi CO.,LTD","https://www.openslr.org/87/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR88","Att-HACK","Speech","French Expressive Speech Database with Social Attitudes","https://www.openslr.org/88/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR89","Yoloxóchitl-Mixtec","Speech","Yolóxochitl Mixtec Speech with Transcription","https://www.openslr.org/89/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR92","Puebla-Nahuatl","Speech","Puebla Nahuatl Speech with Transcription","https://www.openslr.org/92/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR93","AISHELL-3","Speech","Mandarin data, provided by Beijing Shell Shell Technology Co., Ltd.","https://www.openslr.org/93/","aishell3","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR94","Multilingual LibriSpeech (MLS)","Speech","A large multilingual corpus derived from LibriVox audiobooks","https://www.openslr.org/94/","mls; mls_de; mls_es; mls_fr; mls_pt","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR95","Thorsten Müller (German Neutral-TTS dataset)","Speech","Free single german speaker dataset (> 23 hours) by Thorsten Müller (voice) and Dominik Kreutz (audio optimization) for tts training","https://www.openslr.org/95/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR96","Russian LibriSpeech (RuLS)","Speech","This dataset is based on LibriVox audiobooks","https://www.openslr.org/96/","rulibrispeech_ru","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR97","Deeply Korean read speech corpus","Speech","Pairs of Korean reading the scripts with 3 text sentiments using 3 vocal sentiments. Recorded in 3 types of places, at 3 distinct distances, with 2 types of smartphone.","https://www.openslr.org/97/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR98","Deeply parent-child vocal interaction dataset","Speech","The interaction of pairs of parent and child(reading fairy tales, singing children’s songs, conversing, and others).Recorded in 3 types of places, at 3 distinct distances, with 2 types of smartphone.","https://www.openslr.org/98/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR99","Deeply Nonverbal Vocalization Dataset","Audio","A human nonverbal vocal sound dataset by Deeply Inc.","https://www.openslr.org/99/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR100","Multilingual TEDx","Speech","a multilingual corpus of TEDx talks for speech recognition and translation","https://www.openslr.org/100/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR101","speechocean762","Speech","Pronunciation scoring dataset, labeled independently by five human experts","https://www.openslr.org/101/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR102","Kazakh Speech Corpus (KSC)","Speech","A crowdsourced open-source Kazakh speech corpus developed by ISSAI (330 hours)","https://www.openslr.org/102/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR103","Multilingual and code-switching ASR Challenge Dataset - sub-task1","Speech","Datasets for sub-task1 in Multilingual and code-switching ASR challenges for low resource Indian languages - MUCS 2021 (https://navana-tech.github.io/MUCS2021/)","https://www.openslr.org/103/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR104","Multilingual and code-switching ASR Challenge Dataset - sub-task2","Speech","Datasets for sub-task2 in Multilingual and code-switching ASR challenges for low resource Indian languages - MUCS 2021 (https://navana-tech.github.io/MUCS2021/)","https://www.openslr.org/104/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR105","nicolingua-0003-west-african-radio-corpus","Speech","West African Radio Corpus","https://www.openslr.org/105/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR106","nicolingua-0004-west-african-va-asr-corpus","Speech","West African Virtual Assistant Speech Recognition Corpus","https://www.openslr.org/106/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR107","Totonac Resources","Speech","Totonac Speech with Transcription","https://www.openslr.org/107/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR108","MediaSpeech","Speech","French, Arabic, Turkish and Spanish media speech datasets","https://www.openslr.org/108/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR109","Hi-Fi Multi-Speaker English TTS Dataset (Hi-Fi TTS)","Speech","A multi-speaker English dataset for training text-to-speech models","https://www.openslr.org/109/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR110","Thorsten Müller (German Emotional-TTS dataset)","Speech","Free EMOTIONAL single german speaker dataset (Neutral, Disgusted, Angry, Amused, Surprised, Sleepy, Drunk, Whispering) by Thorsten Müller (voice) and Dominik Kreutz (audio optimization) for TTS training","https://www.openslr.org/110/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR111","AISHELL-4","Speech","A Free Mandarin Multi-channel Meeting Speech Corpus, provided by Beijing Shell Shell Technology Co.,Ltd","https://www.openslr.org/111/","aishell4","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR112","Samromur 21.05","Speech","Samrómur Icelandic Speech corpus approved for release in May 2021","https://www.openslr.org/112/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR113","SEOUL CORPUS","Speech","The Korean Corpus of Spontaneous Speech (aka, Seoul Corpus), created from the NRF(Korea)-funded project","https://www.openslr.org/113/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR114","Golos","Speech","Russian ASR dataset (1240 hours) with trained acoustic and language models","https://www.openslr.org/114/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR115","EmoV_DB","Speech","a database of emotional speech intended to be open-sourced and used for synthesis and generation purpose. It contains data for male and female actors in English (https://github.com/numediart/EmoV-DB)","https://www.openslr.org/115/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR116","Samrómur Queries 21.12","Speech","Samrómur Icelandic Speech corpus focused on queries and approved for release in December 2021","https://www.openslr.org/116/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR117","Samrómur Children 21.09","Speech","Samrómur Icelandic Speech from children (ages 4-17 years) approved for release in September 2021","https://www.openslr.org/117/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR118","1111 Hours Hindi ASR Challenge","Speech","Datasets for 1111 Hours Hindi ASR Challenge Closed, Self Supervised Closed and Open - 2022 (https://sites.google.com/view/gramvaaniasrchallenge/home)","https://www.openslr.org/118/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR119","AliMeeting","Speech","A Free Mandarin Multi-channel Meeting Speech Corpus, provided by Alibaba Group","https://www.openslr.org/119/","alimeeting","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR120","HI-MIA-CW","Speech","A Free Mandarin Supplemental Speech Corpus to HI-MIA Database, whose contents are negative samples for wake-up words ""Hi, Mia"".","https://www.openslr.org/120/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR121","WenetSpeech","Speech","A 10000+ Hours Multi-Domain Mandarin Corpus for Speech Recognition","https://www.openslr.org/121/","wenetspeech","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR122","Kashmiri Data Corpus","Speech","An audio and text corpus for the Kashmiri language","https://www.openslr.org/122/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR123","MAGICDATA Mandarin Chinese Conversational Speech Corpus","Speech","The corpus by Magic Data Technology Co., Ltd. , containing 180 hours of rich annotated Mandarin spontaneous conversational speech data.","https://www.openslr.org/123/","magicdata_ramc","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR124","TIBMD@MUC speech data set","Speech","A Tibetan multi-dialect speech data ( 84.33 hours)","https://www.openslr.org/124/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR125","Basic LAnguage Resource Kit 1.0 for Faroese","Speech","Faroese Speech corpus approved for release in July 2022","https://www.openslr.org/125/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR126","IISc-MILE Kannada ASR Corpus","Speech","Kannada transcribed speech corpus for ASR","https://www.openslr.org/126/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR127","IISc-MILE Tamil ASR Corpus","Speech","Tamil transcribed speech corpus for ASR","https://www.openslr.org/127/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR128","Samrómur Unverified 22.07","Speech","Samrómur Icelandic Speech, 2,200 hours of mostly unverified data approved for release in July 2022","https://www.openslr.org/128/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR129","BibleTTS","Speech","A large, high-fidelity, multilingual, and uniquely African speech corpus","https://www.openslr.org/129/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR130","Samrómur L2 22.09","Speech","Samrómur Icelandic Speech, 150 hours from people with Icelandic as a second language. Approved for release in July 2022","https://www.openslr.org/130/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR131","Samrómur Mimic 22.09","Speech","Samrómur Icelandic Speech, 66.7 hours of speech where users mimic utterances. Approved in September 2022","https://www.openslr.org/131/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR132","Mohammed","Speech","Arabic speech to text Quran data","https://www.openslr.org/132/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR133","XBMU-AMDO31","Speech","Tibetan Amdo dialect speech data from NLIT, Northwest Minzu University","https://www.openslr.org/133/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR134","SASPEECH","Speech","Hebrew speech and transcripts by a single speaker (30 hours)","https://www.openslr.org/134/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR135","Libri-Mixed-Speakers","Speech","English audio of simultaneous speakers derived from LibriTTS","https://www.openslr.org/135/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR136","EMNS","Speech, text-to-speech, automatic speech recognition","An emotive single-speaker dataset for narrative storytelling. EMNS is dataset containing transcriptions, emotion, emotion intensity, and description of acted speech.","https://www.openslr.org/136/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR137","Silbo Gomero Speech Corpus","Speech","Corpus of the Silbo Gomero whistled language, based on 49 minutes of recordings created by 4 whistlers.","https://www.openslr.org/137/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR138","SHALCAS22A","Speech","A Chinese Mandarin corpus by Shanghai Acoustics Laboratory, CAS and Wuxi Sandu Intelligent Technology Co., Ltd.","https://www.openslr.org/138/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR139","Audiocite.net","Speech","Spoken dataset of books read in French, initially collected from audiocite.net by the GETALP team for the LeBenchmark project .","https://www.openslr.org/139/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR140","Kazakh Speech Dataset (KSD)","Speech","High-quality open source Kazakh speech corpus developed by the Department of Artificial Intelligence and Big Data of Al-Farabi Kazakh National University (554 hours)","https://www.openslr.org/140/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR141","LibriTTS-R","Speech","Sound quality improved version of the LibriTTS corpus which is a large-scale corpus of English speech designed for TTS use","https://www.openslr.org/141/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR142","The MC Speech Dataset","Speech","Free speech dataset consisting of 24018 short audio clips of a single speaker reading sentences in Polish","https://www.openslr.org/142/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR143","Nepali Text-to-Speech Data (Male and Female)","Speech","Nepali speech and corresponding text data in male and female voice","https://www.openslr.org/143/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR144","SlideSpeech","Audio-Visual Speech","A Large-scale English Multi-Modal Audio-Visual Corpus, provided by Alibaba Group","https://www.openslr.org/144/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR145","LibriSpeech-PC","Text","LibriSpeech text with Punctuation and Capitalization","https://www.openslr.org/145/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR146","CML-TTS Dataset","Speech","CML-TTS: A Multilingual Dataset for Speech Synthesis in Low-Resource Languages","https://www.openslr.org/146/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR147","Veracruz Orizaba Nahuatl Endangered Language","Speech","Audio corpus of Orizaba (Veracruz) Nahuatl speech (Glottocode: oriz1235; ISO 639-3: nlv)","https://www.openslr.org/147/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR148","Tepetzintla Zacatlan Nahuatl Endangered Language","Speech","Audio corpus of Zacatlán-Ahuacatlán-Tepetzintla (Puebla) Nahuatl speech (Glottocode: zaca1241; ISO 639-3: nhi)","https://www.openslr.org/148/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR149","Tibetan Greetings","Speech","Selected Tibetan greetings speech data categorized according to the dialectal region.","https://www.openslr.org/149/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR150","CHiME-6","Speech","English multi-channel far field meeting data used in the CHiME-6 Challenge. It is derived from CHiME-5 by fixing some array synchronization errors.","https://www.openslr.org/150/","chime6","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR151","Kallaama","Speech","Wolof, Pulaar and Sereer data","https://www.openslr.org/151/","","目录级发现；未逐个验收下载、ASR标注和许可"
"SLR152","Pragmatic Similarity Judgments","Speech","Judgments of perceived similarity between utterance pairs from dialogs, in English and Spanish.","https://www.openslr.org/152/","","目录级发现；未逐个验收下载、ASR标注和许可"
