priority	id	section	source_line	text	spoken_variants	existing_audio	reason
补原句	src-3a05a06657ee6055	20260915新增	58	关闭红外	"[""关闭红外""]"	10	仅改写覆盖
补原句	src-cfa2d1ff10781f41	20260915新增	61	打开AI模式	"[""打开AI模式"", ""打开A I模式""]"	10	仅改写覆盖
补原句	src-c40b5cf275fdb3e6	20260915新增	62	开启AI	"[""开启AI"", ""开启A I""]"	10	仅改写覆盖
补音频	src-937706d3ad01881a	20260915新增	63	关闭AI模式	"[""关闭AI模式"", ""关闭A I模式""]"	0	缺音频
补音频	src-3ba786aaa69fee3d	20260915新增	64	关闭AI	"[""关闭AI"", ""关闭A I""]"	0	缺音频
补音频	src-b4513259bfd8899e	20260915新增	67	打开静默模式	"[""打开静默模式""]"	0	缺音频
补音频	src-46f17b4bde7cd786	20260915新增	68	开启静音模式	"[""开启静音模式""]"	0	缺音频
补音频	src-930bd869ac89cae0	20260915新增	69	关闭静默模式	"[""关闭静默模式""]"	0	缺音频
补音频	src-a8a1a082266ff894	20260915新增	70	关闭静音模式	"[""关闭静音模式""]"	0	缺音频
补原句	src-f8b5ac8cb9279791	20260915新增	73	打开记录仪移动网络	"[""打开记录仪移动网络""]"	10	仅改写覆盖
补原句	src-5ebf157d5e8066c9	20260915新增	74	开启记录仪移动数据	"[""开启记录仪移动数据""]"	10	仅改写覆盖
补音频	src-446eaf8538c10249	20260915新增	75	关闭记录仪移动网络	"[""关闭记录仪移动网络""]"	0	缺音频
补音频	src-11eb5a0d7ffc1f83	20260915新增	76	关闭记录仪移动数据	"[""关闭记录仪移动数据""]"	0	缺音频
补原句	src-39c15c10945e0d58	20260915新增	79	打开记录仪人声播报	"[""打开记录仪人声播报""]"	10	仅改写覆盖
补原句	src-32c332264f659df0	20260915新增	80	开启记录仪人声播报	"[""开启记录仪人声播报""]"	10	仅改写覆盖
补音频	src-5a35f9840df1bff6	20260915新增	81	关闭记录仪人声播报	"[""关闭记录仪人声播报""]"	0	缺音频
补音频	src-e9b2cdb6e64d60bc	20260915新增	86	把镜头切换到超长待机模式	"[""把镜头切换到超长待机模式""]"	0	缺音频
补音频	src-68bbde22097c8eab	20260915新增	87	切换到超长待机	"[""切换到超长待机""]"	0	缺音频
补音频	src-dd8ed8150dc9c253	20260915新增	88	把镜头切换到防抖模式	"[""把镜头切换到防抖模式""]"	0	缺音频
补音频	src-aef6c0b6e87d902e	20260915新增	89	切换到防抖	"[""切换到防抖""]"	0	缺音频
补音频	src-702f7ca623a253a2	20260915新增	90	把镜头切换到超大广角模式	"[""把镜头切换到超大广角模式""]"	0	缺音频
补音频	src-cbc84278579e56f4	20260915新增	91	切换到超大广角	"[""切换到超大广角""]"	0	缺音频
补音频	src-226892834e8b19e7	20260915新增	92	镜头模式有哪些可选	"[""镜头模式有哪些可选""]"	0	缺音频
补音频	src-ed5dfe1dd1def98d	20260915新增	93	当前镜头模式是什么	"[""当前镜头模式是什么""]"	0	缺音频
补音频	src-4a2aa8e04f119e88	20260915新增	99	停止录像	"[""停止录像""]"	0	缺音频
补音频	src-2061d6edd5d35081	20260915新增	101	停止录音	"[""停止录音""]"	0	缺音频
补音频	src-1fc4b582ff7a7287	20260915新增	102	拍照	"[""拍照""]"	0	缺音频
补音频	src-374cbae6fc376afb	20260915新增	103	拍一张照片	"[""拍一张照片""]"	0	缺音频
补音频	src-761769bfce7a5b95	20260915新增	104	打开水印	"[""打开水印""]"	0	缺音频
补音频	src-072ce6cec146fad0	20260915新增	105	关闭水印	"[""关闭水印""]"	0	缺音频
补音频	src-94961e510097ad85	20260915新增	111	把录像分辨率设置为D1	"[""把录像分辨率设置为D1"", ""把录像分辨率设置为D 一"", ""把录像分辨率设置为D 幺""]"	0	缺音频
补音频	src-f67fc824fc3d7596	20260915新增	112	把录像分辨率设置为720P	"[""把录像分辨率设置为720P"", ""把录像分辨率设置为七二零 P"", ""把录像分辨率设置为七百二十 P""]"	0	缺音频
补音频	src-4e4fcd35ad41756a	20260915新增	113	把录像分辨率设置为1080P	"[""把录像分辨率设置为1080P"", ""把录像分辨率设置为一零八零 P"", ""把录像分辨率设置为一千零八十 P""]"	0	缺音频
补音频	src-56f045f70a5a326e	20260915新增	114	把录像分辨率设置为2K	"[""把录像分辨率设置为2K"", ""把录像分辨率设置为二 K""]"	0	缺音频
补音频	src-5d31308b28188df4	20260915新增	115	把录像分辨率设置为4K	"[""把录像分辨率设置为4K"", ""把录像分辨率设置为四 K""]"	0	缺音频
补原句	src-5d0d68ec122b1d5a	20260915新增	116	录像分辨率支持哪些	"[""录像分辨率支持哪些""]"	10	仅改写覆盖
补音频	src-4c67c4f02d6bb9fe	20260915新增	117	当前录像分辨率是多少	"[""当前录像分辨率是多少""]"	0	缺音频
补音频	src-da19ddc33c6aaace	20260915新增	120	把视频帧率设置为25	"[""把视频帧率设置为25"", ""把视频帧率设置为二十五""]"	0	缺音频
补音频	src-920bbcc5291ab293	20260915新增	121	把视频帧率设置为30	"[""把视频帧率设置为30"", ""把视频帧率设置为三十""]"	0	缺音频
补原句	src-87a4091a85dc6664	20260915新增	122	视频帧率支持哪些	"[""视频帧率支持哪些""]"	10	仅改写覆盖
补音频	src-69b6df3a0810dc92	20260915新增	123	当前帧率是多少	"[""当前帧率是多少""]"	0	缺音频
补音频	src-95dd6931c8c54cfb	20260915新增	126	把视频编码格式设置为H.264	"[""把视频编码格式设置为H.264"", ""把视频编码格式设置为H 二六四"", ""把视频编码格式设置为H 点二六四""]"	0	缺音频
补音频	src-cd17a17914e2f235	20260915新增	127	把视频编码格式设置为H.265	"[""把视频编码格式设置为H.265"", ""把视频编码格式设置为H 二六五"", ""把视频编码格式设置为H 点二六五""]"	0	缺音频
补音频	src-2577132105f5ee72	20260915新增	128	支持哪些编码格式	"[""支持哪些编码格式""]"	0	缺音频
补音频	src-2f9c9d06196de0b7	20260915新增	129	当前编码格式是什么	"[""当前编码格式是什么""]"	0	缺音频
补原句	src-bed09fc4049641f0	20260915新增	132	把视频分段时长设置为5分钟	"[""把视频分段时长设置为5分钟"", ""把视频分段时长设置为五分钟""]"	10	仅改写覆盖
补音频	src-4a1de904abce2dad	20260915新增	133	把视频分段时长设置为10分钟	"[""把视频分段时长设置为10分钟"", ""把视频分段时长设置为十分钟""]"	0	缺音频
补音频	src-60425b247215173e	20260915新增	134	把视频分段时长设置为20分钟	"[""把视频分段时长设置为20分钟"", ""把视频分段时长设置为二十分钟""]"	0	缺音频
补音频	src-0dcbcc45e52b0c6a	20260915新增	135	把视频分段时长设置为30分钟	"[""把视频分段时长设置为30分钟"", ""把视频分段时长设置为三十分钟""]"	0	缺音频
补音频	src-065c6c1bc7d07f74	20260915新增	136	把视频分段时长设置为60分钟	"[""把视频分段时长设置为60分钟"", ""把视频分段时长设置为六十分钟""]"	0	缺音频
补音频	src-54814ce23bbb9ee3	20260915新增	137	分段时长支持哪些	"[""分段时长支持哪些""]"	0	缺音频
补音频	src-dde664751a9664b4	20260915新增	138	当前分段时长是多少	"[""当前分段时长是多少""]"	0	缺音频
补音频	src-7ebf509efc9bcfef	20260915新增	141	把照片像素设置为8M	"[""把照片像素设置为8M"", ""把照片像素设置为八 M"", ""把照片像素设置为八百万像素""]"	0	缺音频
补音频	src-47cf1172d2364dfe	20260915新增	142	把照片像素设置为16M	"[""把照片像素设置为16M"", ""把照片像素设置为十六 M"", ""把照片像素设置为一千六百万像素""]"	0	缺音频
补音频	src-894e2dbab101f27a	20260915新增	143	把照片像素设置为24M	"[""把照片像素设置为24M"", ""把照片像素设置为二十四 M"", ""把照片像素设置为两千四百万像素""]"	0	缺音频
补音频	src-13b2a95dcd26c0b6	20260915新增	144	把照片像素设置为32M	"[""把照片像素设置为32M"", ""把照片像素设置为三十二 M"", ""把照片像素设置为三千两百万像素""]"	0	缺音频
补音频	src-1b2c25eb099b5897	20260915新增	145	把照片像素设置为64M	"[""把照片像素设置为64M"", ""把照片像素设置为六十四 M"", ""把照片像素设置为六千四百万像素""]"	0	缺音频
补音频	src-2d80b593bac267c9	20260915新增	146	照片像素支持哪些	"[""照片像素支持哪些""]"	0	缺音频
补音频	src-f618adcc21c9128e	20260915新增	147	当前照片像素是多少	"[""当前照片像素是多少""]"	0	缺音频
补音频	src-c824fce9a24a09a4	20260915新增	150	把录像设置为4K 25帧 H.265 分段10分钟 照片64M	"[""把录像设置为4K 25帧 H.265 分段10分钟 照片64M"", ""把录像设置为四 K二十五帧H 二六五分段十分钟 照片六十四 M"", ""把录像设置为四 K二十五帧H 点二六五分段十分钟 照片六十四 M"", ""把录像设置为四 K二十五帧H 二六五分段十分钟 照片六千四百万像素""]"	0	缺音频
补音频	src-2cca6fb262e0d39b	20260915新增	155	打开预录	"[""打开预录""]"	0	缺音频
补音频	src-6e57125c26889038	20260915新增	156	开启预录	"[""开启预录""]"	0	缺音频
补音频	src-0440c94f17d673ee	20260915新增	157	关闭预录	"[""关闭预录""]"	0	缺音频
补音频	src-badf4a86ebd2408f	20260915新增	158	打开预录并设置为5秒	"[""打开预录并设置为5秒"", ""打开预录并设置为五秒""]"	0	缺音频
补音频	src-9a68f40379e56577	20260915新增	159	打开预录并设置为10秒	"[""打开预录并设置为10秒"", ""打开预录并设置为十秒""]"	0	缺音频
补音频	src-80137f3e1cb91ef6	20260915新增	160	打开预录并设置为15秒	"[""打开预录并设置为15秒"", ""打开预录并设置为十五秒""]"	0	缺音频
补音频	src-d2894464569ff432	20260915新增	161	打开预录并设置为30秒	"[""打开预录并设置为30秒"", ""打开预录并设置为三十秒""]"	0	缺音频
补音频	src-627256a1eb75f168	20260915新增	162	打开预录并设置为60秒	"[""打开预录并设置为60秒"", ""打开预录并设置为六十秒""]"	0	缺音频
补音频	src-cbe02ea12d89638a	20260915新增	163	打开预录并设置为2分钟	"[""打开预录并设置为2分钟"", ""打开预录并设置为两分钟""]"	0	缺音频
补音频	src-1e9dcd9550baac23	20260915新增	164	把预录时长设置为5秒	"[""把预录时长设置为5秒"", ""把预录时长设置为五秒""]"	0	缺音频
补原句	src-96cddcb74e5acbc8	20260915新增	165	把预录时长设置为10秒	"[""把预录时长设置为10秒"", ""把预录时长设置为十秒""]"	10	仅改写覆盖
补音频	src-0ff6e0c07d96173d	20260915新增	166	把预录时长设置为15秒	"[""把预录时长设置为15秒"", ""把预录时长设置为十五秒""]"	0	缺音频
补音频	src-c0d063e57da7b9e4	20260915新增	167	把预录时长设置为30秒	"[""把预录时长设置为30秒"", ""把预录时长设置为三十秒""]"	0	缺音频
补音频	src-68c80048d3e1b12f	20260915新增	168	把预录时长设置为60秒	"[""把预录时长设置为60秒"", ""把预录时长设置为六十秒""]"	0	缺音频
补音频	src-25379f292b6c2ccd	20260915新增	169	把预录时长设置为120秒	"[""把预录时长设置为120秒"", ""把预录时长设置为幺二零秒""]"	0	缺音频
补音频	src-31f551572c236021	20260915新增	170	预录时长支持哪些	"[""预录时长支持哪些""]"	0	缺音频
补音频	src-3f40b293ac750617	20260915新增	171	当前预录时长是多少	"[""当前预录时长是多少""]"	0	缺音频
补音频	src-c1786951b29d3292	20260915新增	172	预录是否开启	"[""预录是否开启""]"	0	缺音频
补音频	src-b843a544faff4816	20260915新增	175	打开延录	"[""打开延录""]"	0	缺音频
补音频	src-86ef3a865a2ada35	20260915新增	176	开启延录	"[""开启延录""]"	0	缺音频
补音频	src-3b8540c1b02fd645	20260915新增	177	关闭延录	"[""关闭延录""]"	0	缺音频
补音频	src-4d82aeb56989a948	20260915新增	178	打开延录并设置为60秒	"[""打开延录并设置为60秒"", ""打开延录并设置为六十秒""]"	0	缺音频
补音频	src-1e1586375bf23f4e	20260915新增	179	打开延录并设置为5分钟	"[""打开延录并设置为5分钟"", ""打开延录并设置为五分钟""]"	0	缺音频
补音频	src-40ef5a6cd8a15e5e	20260915新增	180	把延录时长设置为30秒	"[""把延录时长设置为30秒"", ""把延录时长设置为三十秒""]"	0	缺音频
补原句	src-5fe086816b46fa4a	20260915新增	181	把延录时长设置为60秒	"[""把延录时长设置为60秒"", ""把延录时长设置为六十秒""]"	10	仅改写覆盖
补音频	src-dd6262250b4ff60b	20260915新增	182	把延录时长设置为120秒	"[""把延录时长设置为120秒"", ""把延录时长设置为幺二零秒""]"	0	缺音频
补原句	src-5ba445ceb86872e7	20260915新增	183	把延录时长设置为300秒	"[""把延录时长设置为300秒"", ""把延录时长设置为三百秒""]"	10	仅改写覆盖
补音频	src-259df304400ca40d	20260915新增	184	记录仪延录时长是多少	"[""记录仪延录时长是多少""]"	0	缺音频
补音频	src-08d98cb9abe65932	20260915新增	185	延录时长范围是多少	"[""延录时长范围是多少""]"	0	缺音频
补音频	src-6aae0a7df65318d3	20260915新增	186	当前延录时长是多少	"[""当前延录时长是多少""]"	0	缺音频
补音频	src-9be6e804f51ff1ee	20260915新增	187	延录是否开启	"[""延录是否开启""]"	0	缺音频
补音频	src-b0d63700781e3824	20260915新增	192	把AI识别距离设置为近距离	"[""把AI识别距离设置为近距离"", ""把A I识别距离设置为近距离""]"	0	缺音频
补音频	src-af02309d777d0c0f	20260915新增	193	把AI识别距离设置为远距离	"[""把AI识别距离设置为远距离"", ""把A I识别距离设置为远距离""]"	0	缺音频
补原句	src-dd60297a227b3a61	20260915新增	194	把AI识别距离设置为自动	"[""把AI识别距离设置为自动"", ""把A I识别距离设置为自动""]"	10	仅改写覆盖
补音频	src-aaf8440c4e96142f	20260915新增	195	AI识别距离有哪些模式	"[""AI识别距离有哪些模式"", ""A I识别距离有哪些模式""]"	0	缺音频
补音频	src-27dc537040357b7a	20260915新增	199	发起紧急业务	"[""发起紧急业务""]"	0	缺音频
补音频	src-0fb0808645945beb	20260915新增	200	触发SOS	"[""触发SOS"", ""触发S O S""]"	0	缺音频
补音频	src-af3cd8bf9c901bcb	20260915新增	201	SOS	"[""SOS"", ""S O S""]"	0	缺音频
补音频	src-d3310ae8de374459	20260915新增	202	帮我发起SOS	"[""帮我发起SOS"", ""帮我发起S O S""]"	0	缺音频
补音频	src-4df395f9691ba123	20260915新增	207	开始标记	"[""开始标记""]"	0	缺音频
补音频	src-db84cca654832980	20260915新增	208	标记当前录制	"[""标记当前录制""]"	0	缺音频
补音频	src-dc0533f00b082ef2	20260915新增	209	给当前文件加标记	"[""给当前文件加标记""]"	0	缺音频
补音频	src-65455eee3a7a6406	20260915新增	210	取消标记	"[""取消标记""]"	0	缺音频
补音频	src-8984f7937a99adc6	20260915新增	211	取消当前标记	"[""取消当前标记""]"	0	缺音频
补音频	src-439dc192a318d201	20260915新增	212	去掉标记	"[""去掉标记""]"	0	缺音频
补音频	src-2ade7e2d6312d2f5	20260915新增	217	打点：车牌川A123456	"[""打点：车牌川A123456"", ""打点:车牌川A幺二三四五六""]"	0	缺音频
补音频	src-19023c071d4efd59	20260915新增	218	打点：持刀嫌疑人，男，约30岁	"[""打点：持刀嫌疑人，男，约30岁"", ""打点:持刀嫌疑人,男,约三十岁""]"	0	缺音频
补音频	src-cc33ea3a04d9e5d4	20260915新增	219	给当前视频打个点	"[""给当前视频打个点""]"	0	缺音频
补音频	src-21260b7afe0f5f2f	20260915新增	224	查询镜头模式	"[""查询镜头模式""]"	0	缺音频
补音频	src-38996d7b04b37e2a	20260915新增	225	查询录像分辨率	"[""查询录像分辨率""]"	0	缺音频
补音频	src-a6bb8091118be164	20260915新增	226	查询视频帧率	"[""查询视频帧率""]"	0	缺音频
补音频	src-d18b2dc0a3cca4ae	20260915新增	227	查询编码格式	"[""查询编码格式""]"	0	缺音频
补音频	src-9e5d41a6fb92d6f0	20260915新增	228	查询分段时长	"[""查询分段时长""]"	0	缺音频
补音频	src-019504298660bb80	20260915新增	229	查询拍照像素大小	"[""查询拍照像素大小""]"	0	缺音频
补音频	src-544f9f2070ff444c	20260915新增	230	查询屏幕休眠时间	"[""查询屏幕休眠时间""]"	0	缺音频
补音频	src-4f3b420e5d47af64	20260915新增	231	查询预录时长	"[""查询预录时长""]"	0	缺音频
补音频	src-841e43cc83251527	20260915新增	232	查询延录时长	"[""查询延录时长""]"	0	缺音频
补原句	src-3803e2905deaeac0	20260915新增	233	查询记录仪所有可配置项	"[""查询记录仪所有可配置项""]"	10	仅改写覆盖
补原句	src-4cddbff9cdbfc452	20260915新增	234	把记录仪的镜头模式、分辨率、帧率、延录时长都告诉我	"[""把记录仪的镜头模式、分辨率、帧率、延录时长都告诉我""]"	10	仅改写覆盖
补音频	src-a21bf2e901d945b6	20260915新增	241	把记录仪通话音量调到最大	"[""把记录仪通话音量调到最大""]"	0	缺音频
补音频	src-96e955d6d0848e45	20260915新增	242	把记录仪通话音量调到最小	"[""把记录仪通话音量调到最小""]"	0	缺音频
补音频	src-780f81482480fa5a	20260915新增	243	把记录仪通话音量调到静音	"[""把记录仪通话音量调到静音""]"	0	缺音频
补音频	src-e4c7bae5b0bffdb6	20260915新增	244	把记录仪通话音量调大	"[""把记录仪通话音量调大""]"	0	缺音频
补音频	src-107edb559c3077c7	20260915新增	245	把记录仪通话音量调小	"[""把记录仪通话音量调小""]"	0	缺音频
补音频	src-2022aa9a0f3070a9	20260915新增	246	把记录仪媒体音量调到最大	"[""把记录仪媒体音量调到最大""]"	0	缺音频
补音频	src-10cd34d445193fa4	20260915新增	247	把记录仪媒体音量调到最小	"[""把记录仪媒体音量调到最小""]"	0	缺音频
补音频	src-ba7f7b2f9bba567a	20260915新增	248	把记录仪媒体音量调到静音	"[""把记录仪媒体音量调到静音""]"	0	缺音频
补音频	src-2c6e50dffe13813c	20260915新增	249	把记录仪媒体音量调大	"[""把记录仪媒体音量调大""]"	0	缺音频
补音频	src-52198cbcf90ad43f	20260915新增	250	把记录仪媒体音量调小	"[""把记录仪媒体音量调小""]"	0	缺音频
补音频	src-55f7cdbb3bf1b700	20260915新增	251	把记录仪铃声音量调到最大	"[""把记录仪铃声音量调到最大""]"	0	缺音频
补音频	src-cc4427e811f0dac2	20260915新增	252	把记录仪铃声音量调到最小	"[""把记录仪铃声音量调到最小""]"	0	缺音频
补音频	src-7a1832a749d543fd	20260915新增	253	把记录仪闹钟音量调到最大	"[""把记录仪闹钟音量调到最大""]"	0	缺音频
补音频	src-8128959a7a569196	20260915新增	254	把记录仪闹钟音量调到最小	"[""把记录仪闹钟音量调到最小""]"	0	缺音频
补音频	src-23af1948357034d8	20260915新增	255	把记录仪通知音量调到最大	"[""把记录仪通知音量调到最大""]"	0	缺音频
补音频	src-59ba065024689638	20260915新增	256	把记录仪通知音量调到最小	"[""把记录仪通知音量调到最小""]"	0	缺音频
补音频	src-fa54598e4a4621da	20260915新增	257	记录仪音量调到最大	"[""记录仪音量调到最大""]"	0	缺音频
补原句	src-6c70b32422778ad1	20260915新增	258	记录仪音量调到最小	"[""记录仪音量调到最小""]"	10	仅改写覆盖
补音频	src-c7852a479b48c108	20260915新增	259	记录仪音量静音	"[""记录仪音量静音""]"	0	缺音频
补音频	src-fde3358aa96d468b	20260915新增	263	把记录仪亮度调到0档	"[""把记录仪亮度调到0档"", ""把记录仪亮度调到零档""]"	0	缺音频
补音频	src-fe9fba0378f0197f	20260915新增	264	把记录仪亮度调到1档	"[""把记录仪亮度调到1档"", ""把记录仪亮度调到一档""]"	0	缺音频
补音频	src-e35bee06553a0395	20260915新增	265	把记录仪亮度调到2档	"[""把记录仪亮度调到2档"", ""把记录仪亮度调到二档""]"	0	缺音频
补音频	src-cb860addb897772e	20260915新增	266	把记录仪亮度调到3档	"[""把记录仪亮度调到3档"", ""把记录仪亮度调到三档""]"	0	缺音频
补音频	src-d0c8b59b6f41a4ca	20260915新增	267	把记录仪亮度调到4档	"[""把记录仪亮度调到4档"", ""把记录仪亮度调到四档""]"	0	缺音频
补音频	src-6e09514c717c4e43	20260915新增	268	把记录仪亮度调到5档	"[""把记录仪亮度调到5档"", ""把记录仪亮度调到五档""]"	0	缺音频
补音频	src-536551b09ec50365	20260915新增	269	把记录仪亮度调到6档	"[""把记录仪亮度调到6档"", ""把记录仪亮度调到六档""]"	0	缺音频
补音频	src-748767f3aa265347	20260915新增	270	把记录仪亮度调到7档	"[""把记录仪亮度调到7档"", ""把记录仪亮度调到七档""]"	0	缺音频
补音频	src-5cfa9b863d0484fb	20260915新增	271	把记录仪亮度调到8档	"[""把记录仪亮度调到8档"", ""把记录仪亮度调到八档""]"	0	缺音频
补音频	src-2bbdb0a51b5149c3	20260915新增	272	把记录仪亮度调到9档	"[""把记录仪亮度调到9档"", ""把记录仪亮度调到九档""]"	0	缺音频
补音频	src-12e34da181aa0b1a	20260915新增	273	把记录仪亮度调到10档	"[""把记录仪亮度调到10档"", ""把记录仪亮度调到十档""]"	0	缺音频
补音频	src-efd9b8e5088c510e	20260915新增	274	把记录仪亮度调到最亮	"[""把记录仪亮度调到最亮""]"	0	缺音频
补原句	src-f4b25387ab0f2fa7	20260915新增	275	把记录仪亮度调到最暗	"[""把记录仪亮度调到最暗""]"	10	仅改写覆盖
补音频	src-05ed87be6172b942	20260915新增	276	记录仪亮度调高	"[""记录仪亮度调高""]"	0	缺音频
补音频	src-8bb040cf0fda0db6	20260915新增	277	记录仪亮度调低	"[""记录仪亮度调低""]"	0	缺音频
补音频	src-2509a2440b3d64cb	20260915新增	280	把记录仪关机	"[""把记录仪关机""]"	0	缺音频
补音频	src-5da4b198499912f7	20260915新增	281	关闭记录仪	"[""关闭记录仪""]"	0	缺音频
补音频	src-b552d2f7e68ebbca	20260915新增	282	记录仪关机	"[""记录仪关机""]"	0	缺音频
补音频	src-942c71e1c9cf31d1	20260915新增	286	把记录仪休眠时间设置为15秒	"[""把记录仪休眠时间设置为15秒"", ""把记录仪休眠时间设置为十五秒""]"	0	缺音频
补音频	src-419cb060632233b3	20260915新增	287	把记录仪休眠时间设置为30秒	"[""把记录仪休眠时间设置为30秒"", ""把记录仪休眠时间设置为三十秒""]"	0	缺音频
补音频	src-5ae73f0de0781884	20260915新增	288	把记录仪休眠时间设置为60秒	"[""把记录仪休眠时间设置为60秒"", ""把记录仪休眠时间设置为六十秒""]"	0	缺音频
补音频	src-d306df1a3bdf9bf7	20260915新增	289	把记录仪休眠时间设置为2分钟	"[""把记录仪休眠时间设置为2分钟"", ""把记录仪休眠时间设置为两分钟""]"	0	缺音频
补音频	src-074cc1178533cf46	20260915新增	290	把记录仪休眠时间设置为5分钟	"[""把记录仪休眠时间设置为5分钟"", ""把记录仪休眠时间设置为五分钟""]"	0	缺音频
补音频	src-fa155df16e5133c2	20260915新增	291	把记录仪休眠时间设置为10分钟	"[""把记录仪休眠时间设置为10分钟"", ""把记录仪休眠时间设置为十分钟""]"	0	缺音频
补音频	src-95fbb90c54ec3c83	20260915新增	292	把记录仪设置为永不休眠	"[""把记录仪设置为永不休眠""]"	0	缺音频
补音频	src-5053a67cbc654f71	20260915新增	293	把记录仪设置为屏幕常亮	"[""把记录仪设置为屏幕常亮""]"	0	缺音频
补音频	src-370f39715fa9b664	20260915新增	294	当前屏幕休眠时间是多少	"[""当前屏幕休眠时间是多少""]"	0	缺音频
补音频	src-480f4f36588f38c1	行业词汇	1157	易引发民转刑的矛盾纠纷	"[""易引发民转刑的矛盾纠纷""]"	0	缺音频
确认范围	src-cc534d47ee47991d	行业词汇	1312	机构层级	"[""机构层级""]"	0	原文件中疑似分组标题；确认是否需朗读，不自动删项
